"","lykke","utdanning","skala10"
"1257",9,11,2
"1258",10,10,4
"1259",9,6,9
"1260",8,9,6
"1261",8,8,9
"1262",9,10,3
"1263",6,6,5
"1264",9,2,9
"1265",3,6,7
"1266",8,5,10
"1267",6,6,10
"1268",5,10,3
"1269",9,6,10
"1270",8,5,9
"1271",8,6,10
"1272",8,6,9
"1273",9,6,9
"1274",7,13,10
"1275",8,10,4
"1276",10,6,9
"1277",9,9,4
"1278",8,3,10
"1279",8,4,9
"1280",8,3,9
"1281",9,3,10
"1282",8,8,7
"1283",8,3,9
"1284",9,6,9
"1285",9,5,8
"1286",7,3,9
"1287",9,10,10
"1288",9,11,4
"1289",8,11,4
"1290",6,11,4
"1291",7,6,5
"1292",8,10,4
"1293",9,9,9
"1294",10,6,10
"1295",7,10,4
"1296",8,3,NA
"1297",8,6,6
"1298",9,6,10
"1299",8,6,6
"1300",9,11,3
"1301",9,6,NA
"1302",8,6,9
"1303",10,3,10
"1304",8,10,10
"1305",10,5,9
"1306",9,9,1
"1307",7,6,2
"1308",10,5,9
"1309",6,13,4
"1310",8,5,7
"1311",8,12,4
"1312",9,5,4
"1313",10,13,4
"1314",8,10,5
"1315",9,3,4
"1316",7,13,4
"1317",7,10,4
"1318",7,6,10
"1319",8,5,10
"1320",10,3,4
"1321",8,7,1
"1322",6,13,1
"1323",5,9,9
"1324",9,6,9
"1325",8,13,4
"1326",8,10,4
"1327",8,3,10
"1328",10,3,10
"1329",8,8,10
"1330",8,6,9
"1331",9,10,9
"1332",10,3,10
"1333",8,4,7
"1334",8,6,10
"1335",9,6,9
"1336",9,10,6
"1337",3,10,9
"1338",3,10,3
"1339",10,3,NA
"1340",9,5,4
"1341",10,6,2
"1342",5,6,6
"1343",9,3,9
"1344",4,6,9
"1345",5,3,9
"1346",8,6,9
"1347",8,2,10
"1348",10,3,9
"1349",7,6,10
"1350",5,6,10
"1351",6,10,9
"1352",9,3,NA
"1353",10,11,6
"1354",9,13,4
"1355",9,3,4
"1356",10,10,4
"1357",10,6,9
"1358",9,5,2
"1359",5,3,10
"1360",7,6,10
"1361",9,9,2
"1362",9,6,9
"1363",9,5,4
"1364",9,10,4
"1365",3,6,9
"1366",8,6,10
"1367",5,5,9
"1368",9,9,9
"1369",10,4,10
"1370",6,6,10
"1371",8,3,9
"1372",8,3,10
"1373",8,6,6
"1374",9,3,NA
"1375",8,3,10
"1376",9,9,1
"1377",8,5,9
"1378",4,3,10
"1379",7,6,9
"1380",9,6,9
"1381",7,3,9
"1382",10,3,8
"1383",7,5,10
"1384",5,9,2
"1385",10,6,9
"1386",8,13,4
"1387",7,6,9
"1388",8,10,6
"1389",9,6,9
"1390",8,9,9
"1391",10,13,5
"1392",10,11,4
"1393",8,8,1
"1394",5,6,9
"1395",8,8,9
"1396",1,13,3
"1397",7,10,6
"1398",8,9,7
"1399",8,5,NA
"1400",9,5,2
"1401",8,2,NA
"1402",10,6,4
"1403",10,8,9
"1404",7,3,9
"1405",10,6,5
"1406",8,10,3
"1407",7,5,9
"1408",7,9,3
"1409",9,3,9
"1410",10,6,9
"1411",6,9,4
"1412",8,1,NA
"1413",10,13,4
"1414",8,10,5
"1415",8,6,5
"1416",9,1,10
"1417",8,13,3
"1418",7,3,9
"1419",5,3,9
"1420",6,10,4
"1421",7,6,2
"1422",8,6,10
"1423",9,6,9
"1424",9,9,10
"1425",6,6,8
"1426",10,5,10
"1427",5,6,10
"1428",9,3,10
"1429",8,NA,NA
"1430",6,3,9
"1431",10,6,9
"1432",8,2,9
"1433",9,10,6
"1434",8,6,4
"1435",8,8,1
"1436",8,12,1
